,unique_id,ds,y,Type,AutoARIMA
0,time-analysis,2019-01-01 00:00:00,6352.0,Training,
1,time-analysis,2019-01-01 01:00:00,6116.0,Training,
2,time-analysis,2019-01-01 02:00:00,5873.0,Training,
3,time-analysis,2019-01-01 03:00:00,5682.0,Training,
4,time-analysis,2019-01-01 04:00:00,5557.0,Training,
5,time-analysis,2019-01-01 05:00:00,5525.0,Training,
6,time-analysis,2019-01-01 06:00:00,5513.0,Training,
7,time-analysis,2019-01-01 07:00:00,5524.0,Training,
8,time-analysis,2019-01-01 08:00:00,5510.0,Training,
9,time-analysis,2019-01-01 09:00:00,5617.0,Training,
10,time-analysis,2019-01-01 10:00:00,5643.0,Training,
11,time-analysis,2019-01-01 11:00:00,5737.0,Training,
12,time-analysis,2019-01-01 12:00:00,5776.0,Training,
13,time-analysis,2019-01-01 13:00:00,5744.0,Training,
14,time-analysis,2019-01-01 14:00:00,5710.0,Training,
15,time-analysis,2019-01-01 15:00:00,5813.0,Training,
16,time-analysis,2019-01-01 16:00:00,6009.0,Training,
17,time-analysis,2019-01-01 17:00:00,6613.0,Training,
18,time-analysis,2019-01-01 18:00:00,6718.0,Training,
19,time-analysis,2019-01-01 19:00:00,6721.0,Training,
20,time-analysis,2019-01-01 20:00:00,6632.0,Training,
21,time-analysis,2019-01-01 21:00:00,6441.0,Training,
22,time-analysis,2019-01-01 22:00:00,6222.0,Training,
23,time-analysis,2019-01-01 23:00:00,5936.0,Training,
24,time-analysis,2019-02-01 00:00:00,5647.0,Training,
25,time-analysis,2019-02-01 01:00:00,5500.0,Training,
26,time-analysis,2019-02-01 02:00:00,5385.0,Training,
27,time-analysis,2019-02-01 03:00:00,5327.0,Training,
28,time-analysis,2019-02-01 04:00:00,5362.0,Training,
29,time-analysis,2019-02-01 05:00:00,5411.0,Training,
30,time-analysis,2019-02-01 06:00:00,5510.0,Training,
31,time-analysis,2019-02-01 07:00:00,5784.0,Training,
32,time-analysis,2019-02-01 08:00:00,5999.0,Training,
33,time-analysis,2019-02-01 09:00:00,6322.0,Training,
34,time-analysis,2019-02-01 10:00:00,6576.0,Training,
35,time-analysis,2019-02-01 11:00:00,6619.0,Training,
36,time-analysis,2019-02-01 12:00:00,6595.0,Training,
37,time-analysis,2019-02-01 13:00:00,6537.0,Training,
38,time-analysis,2019-02-01 14:00:00,6438.0,Training,
39,time-analysis,2019-02-01 15:00:00,6523.0,Training,
40,time-analysis,2019-02-01 16:00:00,6800.0,Training,
41,time-analysis,2019-02-01 17:00:00,7301.0,Training,
42,time-analysis,2019-02-01 18:00:00,7432.0,Training,
43,time-analysis,2019-02-01 19:00:00,7388.0,Training,
44,time-analysis,2019-02-01 20:00:00,7344.0,Training,
45,time-analysis,2019-02-01 21:00:00,7054.0,Training,
46,time-analysis,2019-02-01 22:00:00,6610.0,Training,
47,time-analysis,2019-02-01 23:00:00,6265.0,Training,
48,time-analysis,2019-03-01 00:00:00,5918.0,Training,
