,unique_id,ds,y,Type,SeasonalNaive
0,time-analysis,2019-01-01 00:00:00,6352.0,Original,
1,time-analysis,2019-01-01 01:00:00,6116.0,Original,
2,time-analysis,2019-01-01 02:00:00,5873.0,Original,
3,time-analysis,2019-01-01 03:00:00,5682.0,Original,
4,time-analysis,2019-01-01 04:00:00,5557.0,Original,
5,time-analysis,2019-01-01 05:00:00,5525.0,Original,
6,time-analysis,2019-01-01 06:00:00,5513.0,Original,
7,time-analysis,2019-01-01 07:00:00,5524.0,Original,
8,time-analysis,2019-01-01 08:00:00,5510.0,Original,
9,time-analysis,2019-01-01 09:00:00,5617.0,Original,
10,time-analysis,2019-01-01 10:00:00,5643.0,Original,
11,time-analysis,2019-01-01 11:00:00,5737.0,Original,
12,time-analysis,2019-01-01 12:00:00,5776.0,Original,
13,time-analysis,2019-01-01 13:00:00,5744.0,Original,
14,time-analysis,2019-01-01 14:00:00,5710.0,Original,
15,time-analysis,2019-01-01 15:00:00,5813.0,Original,
16,time-analysis,2019-01-01 16:00:00,6009.0,Original,
17,time-analysis,2019-01-01 17:00:00,6613.0,Original,
18,time-analysis,2019-01-01 18:00:00,6718.0,Original,
19,time-analysis,2019-01-01 19:00:00,6721.0,Original,
20,time-analysis,2019-01-01 20:00:00,6632.0,Original,
21,time-analysis,2019-01-01 21:00:00,6441.0,Original,
22,time-analysis,2019-01-01 22:00:00,6222.0,Original,
23,time-analysis,2019-01-01 23:00:00,5936.0,Original,
24,time-analysis,2019-01-02 00:00:00,5647.0,Original,
25,time-analysis,2019-01-02 01:00:00,5500.0,Original,
26,time-analysis,2019-01-02 02:00:00,5385.0,Original,
27,time-analysis,2019-01-02 03:00:00,5327.0,Original,
28,time-analysis,2019-01-02 04:00:00,5362.0,Original,
29,time-analysis,2019-01-02 05:00:00,5411.0,Original,
30,time-analysis,2019-01-02 06:00:00,5510.0,Original,
31,time-analysis,2019-01-02 07:00:00,5784.0,Original,
32,time-analysis,2019-01-02 08:00:00,5999.0,Original,
33,time-analysis,2019-01-02 09:00:00,6322.0,Original,
34,time-analysis,2019-01-02 10:00:00,6576.0,Original,
35,time-analysis,2019-01-02 11:00:00,6619.0,Original,
36,time-analysis,2019-01-02 12:00:00,6595.0,Original,
37,time-analysis,2019-01-02 13:00:00,6537.0,Original,
38,time-analysis,2019-01-02 14:00:00,6438.0,Original,
39,time-analysis,2019-01-02 15:00:00,6523.0,Original,
40,time-analysis,2019-01-02 16:00:00,6800.0,Original,
41,time-analysis,2019-01-02 17:00:00,7301.0,Original,
42,time-analysis,2019-01-02 18:00:00,7432.0,Original,
43,time-analysis,2019-01-02 19:00:00,7388.0,Original,
44,time-analysis,2019-01-02 20:00:00,7344.0,Original,
45,time-analysis,2019-01-02 21:00:00,7054.0,Original,
46,time-analysis,2019-01-02 22:00:00,6610.0,Original,
47,time-analysis,2019-01-02 23:00:00,6265.0,Original,
48,time-analysis,2019-01-03 00:00:00,5918.0,Original,
49,time-analysis,2019-01-03 01:00:00,5693.0,Original,
50,time-analysis,2019-01-03 02:00:00,5544.0,Original,
51,time-analysis,2019-01-03 03:00:00,5539.0,Original,
52,time-analysis,2019-01-03 04:00:00,5684.0,Original,
53,time-analysis,2019-01-03 05:00:00,5830.0,Original,
54,time-analysis,2019-01-03 06:00:00,6144.0,Original,
55,time-analysis,2019-01-03 07:00:00,6725.0,Original,
56,time-analysis,2019-01-03 08:00:00,7446.0,Original,
57,time-analysis,2019-01-03 09:00:00,7780.0,Original,
58,time-analysis,2019-01-03 10:00:00,7987.0,Original,
59,time-analysis,2019-01-03 11:00:00,7994.0,Original,
60,time-analysis,2019-01-03 12:00:00,7966.0,Original,
61,time-analysis,2019-01-03 13:00:00,8025.0,Original,
62,time-analysis,2019-01-03 14:00:00,7892.0,Original,
63,time-analysis,2019-01-03 15:00:00,7873.0,Original,
64,time-analysis,2019-01-03 16:00:00,8026.0,Original,
65,time-analysis,2019-01-03 17:00:00,8474.0,Original,
66,time-analysis,2019-01-03 18:00:00,8514.0,Original,
67,time-analysis,2019-01-03 19:00:00,8470.0,Original,
68,time-analysis,2019-01-03 20:00:00,8214.0,Original,
69,time-analysis,2019-01-03 21:00:00,7932.0,Original,
70,time-analysis,2019-01-03 22:00:00,7454.0,Original,
71,time-analysis,2019-01-03 23:00:00,6974.0,Original,
72,time-analysis,2019-01-04 00:00:00,6610.0,Original,
73,time-analysis,2019-01-04 01:00:00,6406.0,Original,
74,time-analysis,2019-01-04 02:00:00,6372.0,Original,
75,time-analysis,2019-01-04 03:00:00,6237.0,Original,
76,time-analysis,2019-01-04 04:00:00,6398.0,Original,
77,time-analysis,2019-01-04 05:00:00,6530.0,Original,
78,time-analysis,2019-01-04 06:00:00,6869.0,Original,
79,time-analysis,2019-01-04 07:00:00,7403.0,Original,
80,time-analysis,2019-01-04 08:00:00,7925.0,Original,
81,time-analysis,2019-01-04 09:00:00,8258.0,Original,
82,time-analysis,2019-01-04 10:00:00,8383.0,Original,
83,time-analysis,2019-01-04 11:00:00,8291.0,Original,
84,time-analysis,2019-01-04 12:00:00,8231.0,Original,
85,time-analysis,2019-01-04 13:00:00,8229.0,Original,
86,time-analysis,2019-01-04 14:00:00,8072.0,Original,
87,time-analysis,2019-01-04 15:00:00,8082.0,Original,
88,time-analysis,2019-01-04 16:00:00,8099.0,Original,
89,time-analysis,2019-01-04 17:00:00,8664.0,Original,
90,time-analysis,2019-01-04 18:00:00,8729.0,Original,
91,time-analysis,2019-01-04 19:00:00,8619.0,Original,
92,time-analysis,2019-01-04 20:00:00,8343.0,Original,
93,time-analysis,2019-01-04 21:00:00,8010.0,Original,
94,time-analysis,2019-01-04 22:00:00,7417.0,Original,
95,time-analysis,2019-01-04 23:00:00,7065.0,Original,
96,time-analysis,2019-01-05 00:00:00,6720.0,Original,
97,time-analysis,2019-01-05 01:00:00,6496.0,Original,
98,time-analysis,2019-01-05 02:00:00,6373.0,Original,
99,time-analysis,2019-01-05 03:00:00,6317.0,Original,
100,time-analysis,2019-01-05 04:00:00,6398.0,Original,
101,time-analysis,2019-01-05 05:00:00,6414.0,Original,
102,time-analysis,2019-01-05 06:00:00,6656.0,Original,
103,time-analysis,2019-01-05 07:00:00,6977.0,Original,
104,time-analysis,2019-01-05 08:00:00,7362.0,Original,
105,time-analysis,2019-01-05 09:00:00,7605.0,Original,
106,time-analysis,2019-01-05 10:00:00,7766.0,Original,
107,time-analysis,2019-01-05 11:00:00,7763.0,Original,
108,time-analysis,2019-01-05 12:00:00,7778.0,Original,
109,time-analysis,2019-01-05 13:00:00,7649.0,Original,
110,time-analysis,2019-01-05 14:00:00,7511.0,Original,
111,time-analysis,2019-01-05 15:00:00,7567.0,Original,
112,time-analysis,2019-01-05 16:00:00,7904.0,Original,
113,time-analysis,2019-01-05 17:00:00,8408.0,Original,
114,time-analysis,2019-01-05 18:00:00,8525.0,Original,
115,time-analysis,2019-01-05 19:00:00,8482.0,Original,
116,time-analysis,2019-01-05 20:00:00,8226.0,Original,
117,time-analysis,2019-01-05 21:00:00,7893.0,Original,
118,time-analysis,2019-01-05 22:00:00,7341.0,Original,
119,time-analysis,2019-01-05 23:00:00,6983.0,Original,
120,time-analysis,2019-01-06 00:00:00,6665.0,Original,
121,time-analysis,2019-01-06 01:00:00,6441.0,Original,
122,time-analysis,2019-01-06 02:00:00,6297.0,Original,
123,time-analysis,2019-01-06 03:00:00,6168.0,Original,
124,time-analysis,2019-01-06 04:00:00,6260.0,Original,
125,time-analysis,2019-01-06 05:00:00,6244.0,Original,
126,time-analysis,2019-01-06 06:00:00,6341.0,Original,
127,time-analysis,2019-01-06 07:00:00,6649.0,Original,
128,time-analysis,2019-01-06 08:00:00,6812.0,Original,
129,time-analysis,2019-01-06 09:00:00,7087.0,Original,
130,time-analysis,2019-01-06 10:00:00,7161.0,Original,
131,time-analysis,2019-01-06 11:00:00,7074.0,Original,
132,time-analysis,2019-01-06 12:00:00,7129.0,Original,
133,time-analysis,2019-01-06 13:00:00,7211.0,Original,
134,time-analysis,2019-01-06 14:00:00,6997.0,Original,
135,time-analysis,2019-01-06 15:00:00,7095.0,Original,
136,time-analysis,2019-01-06 16:00:00,7307.0,Original,
137,time-analysis,2019-01-06 17:00:00,7851.0,Original,
138,time-analysis,2019-01-06 18:00:00,7992.0,Original,
139,time-analysis,2019-01-06 19:00:00,7955.0,Original,
140,time-analysis,2019-01-06 20:00:00,7810.0,Original,
141,time-analysis,2019-01-06 21:00:00,7593.0,Original,
142,time-analysis,2019-01-06 22:00:00,7202.0,Original,
143,time-analysis,2019-01-06 23:00:00,6800.0,Original,
144,time-analysis,2019-01-07 00:00:00,6512.0,Original,
145,time-analysis,2019-01-07 01:00:00,6270.0,Original,
146,time-analysis,2019-01-07 02:00:00,6172.0,Original,
147,time-analysis,2019-01-07 03:00:00,6228.0,Original,
